  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, SelectionSort_cmp, SelectionSort_swaps, SelectionSort_time, HeapSort_cmp, HeapSort_swaps, HeapSort_time
  0,             0,               0,              2,         0,           0,          1,                 0,                   0,                  0,            0,              0,             1
  1,             0,               0,              1,         0,           0,          0,                 0,                   0,                  0,            0,              0,             1
  2,             0,               0,              1,         0,           0,          4,                 0,                   0,                  0,            0,              0,             2
  3,             0,               0,              1,         0,           0,          5,                 0,                   0,                  1,            0,              0,             1
  4,             0,               0,              0,         0,           0,          4,                 0,                   0,                  1,            0,              0,             9
  5,             0,               0,              0,         0,           0,          5,                 0,                   0,                  1,            0,              0,             1
  6,             0,               0,              1,         0,           0,          6,                 0,                   0,                  1,            0,              0,             2
  7,             0,               0,              1,         0,           0,          6,                 0,                   0,                  1,            0,              0,             2
  8,             0,               0,              2,         0,           0,          9,                 0,                   0,                  2,            0,              0,             2
  9,             0,               0,              2,         0,           0,          8,                 0,                   0,                  2,            0,              0,             3
 10,             0,               0,              2,         0,           0,         11,                 0,                   0,                  3,            0,              0,             3
 11,             0,               0,              4,         0,           0,         14,                 0,                   0,                  7,            0,              0,             3
 12,             0,               0,              3,         0,           0,          9,                 0,                   0,                  3,            0,              0,             2
 13,             0,               0,              4,         0,           0,         13,                 0,                   0,                  4,            0,              0,             3
 14,             0,               0,              4,         0,           0,         28,                 0,                   0,                  5,            0,              0,             4
 15,             0,               0,              5,         0,           0,         16,                 0,                   0,                  6,            0,              0,             4
 16,             0,               0,              8,         0,           0,         15,                 0,                   0,                  6,            0,              0,             5
 17,             0,               0,              6,         0,           0,         16,                 0,                   0,                  8,            0,              0,             6
 18,             0,               0,              4,         0,           0,         12,                 0,                   0,                  5,            0,              0,             3
 19,             0,               0,              4,         0,           0,         24,                 0,                   0,                  5,            0,              0,             4
 20,             0,               0,              6,         0,           0,         14,                 0,                   0,                  7,            0,              0,             5
 21,             0,               0,              8,         0,           0,         18,                 0,                   0,                 10,            0,              0,             5
 22,             0,               0,             10,         0,           0,         20,                 0,                   0,                 11,            0,              0,             7
 23,             0,               0,             10,         0,           0,         36,                 0,                   0,                 11,            0,              0,          1149
 24,             0,               0,             20,         0,           0,         28,                 0,                   0,                 14,            0,              0,             8
 25,             0,               0,             13,         0,           0,         36,                 0,                   0,                 12,            0,              0,             9
 26,             0,               0,             14,         0,           0,         20,                 0,                   0,                 14,            0,              0,             8
 27,             0,               0,             16,         0,           0,         22,                 0,                   0,                 19,            0,              0,             8
 28,             0,               0,             15,         0,           0,         23,                 0,                   0,                 16,            0,              0,             7
 29,             0,               0,             20,         0,           0,         25,                 0,                   0,                 14,            0,              0,             8
 30,             0,               0,             18,         0,           0,         29,                 0,                   0,                 21,            0,              0,             8
 31,             0,               0,             18,         0,           0,        146,                 0,                   0,                 26,            0,              0,             9
 32,             0,               0,             22,         0,           0,         21,                 0,                   0,                 19,            0,              0,            10
 33,             0,               0,             19,         0,           0,         25,                 0,                   0,                 21,            0,              0,             8
